place_type,name,geo_location_lat,geo_location_lng,address,rating,type_of_the_attraction,place_id,local_phone_number,website,url
Sight Seeing,טיול לטנזניה - טנזניה טריפ,32.0153081,34.80004419999999,"Ha-Melakha St 39, Holon, Israel",4.6,"[travel_agency, point_of_interest, establishment]",ChIJcxEyZrC0AhURRku_xJNsJJE,03-979-9923,https://tanzania-trip.co.il/,https://maps.google.com/?cid=10458603616577997638
Sight Seeing,"טיול קולינרי זה טייסטורס טיולים קולינריים ! כל אחד יכול לאכול כמו מקומי בחו""ל ! Tastours culinary travels",32.066764,34.809532,"קניון גבעתיים, דרך יצחק רבין 53, גבעתיים, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJY-BLk6hLHRURFSB8sP-9_q8,03-517-7711,http://www.tastours.com/,https://maps.google.com/?cid=12681782506597130261
Sight Seeing,Yael Israel Tours - Guida Turistica in Israele,32.076127,34.771178,"Bograshov St 44, Tel Aviv-Yafo, 6315408, Israel",5,"[travel_agency, point_of_interest, establishment]",ChIJ8Rvq15VNHRURA_qPcG-7J9g,052-620-1361,http://www.yaelisraeltours.com/,https://maps.google.com/?cid=15575623923588397571
Sight Seeing,MennoTours,32.121831,34.8024477,"Recanati St 2, Tel Aviv-Yafo, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJn0__h2xJHRURo8u79oDfLDo,054-435-4682,,https://maps.google.com/?cid=4191971098163399587
Sight Seeing,גידי - סוכן נסיעות - Gidi Travel,32.0703843,34.7914663,"Natan Yellin Mor St 18, Tel Aviv-Yafo, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJQSWbYp5LHRUR3_9oN0svSK0,052-481-1569,http://www.bershadsky.biz/,https://maps.google.com/?cid=12486281966983380959
Sight Seeing,מונה טורס,32.0859616,34.8324845,"Rabi Akiva St 100, Bnei Brak, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJax0N3CRKHRURp4mcJhChfh8,03-964-8888,,https://maps.google.com/?cid=2269428352980650407
Sight Seeing,גו איסט - Go East Travel - המומחים למזרח,32.0637223,34.7696201,"Ahad Ha'Am St 9, Tel Aviv-Yafo, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJzVorA4ZLHRURQ1Bj-An6lCA,03-522-0092,http://www.goeast.co.il/,https://maps.google.com/?cid=2347776226495778883
Sight Seeing,"היסתור - אלטיב בע""מ",32.0742672,34.79614590000001,"Menorat HaMa'or St 8, Tel Aviv-Yafo, Israel",0,"[travel_agency, point_of_interest, establishment]",ChIJ19EfgqJLHRUR2TC2rVig-UM,03-777-7900,http://www.gbtil.co.il/,https://maps.google.com/?cid=4898122372474089689
Nature,Frishman Beach,32.080185,34.766799,"Tel Aviv-Yafo, Israel",4.6,"[natural_feature, point_of_interest, establishment]",ChIJN-GQDnxMHRURDVbX9RbqbXw,03-527-1862,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Frishman.aspx,https://maps.google.com/?cid=8966079817499235853
Nature,Tel Baruch Beach,32.1169081,34.7802935,Tel Baruch Beach,4.4,"[natural_feature, establishment]",ChIJaxWtL05JHRURr2pCYpjsgZo,,,https://maps.google.com/?q=Tel+Baruch+Beach&ftid=0x151d494e2fad156b:0x9a81ec9862426aaf
Nature,Acadia Beach,32.1699119,34.7987467,Acadia Beach,4.4,"[natural_feature, establishment]",ChIJf1KqCJVIHRUReboQTGyK27o,,,https://maps.google.com/?q=Acadia+Beach&ftid=0x151d489508aa527f:0xbadb8a6c4c10ba79
Nature,Alma Beach,32.057074,34.7567622,"Tel Aviv-Yafo, Israel",4.4,"[natural_feature, point_of_interest, establishment]",ChIJ2bY7OXxLHRURKwgqt-d93sE,,https://www.facebook.com/alma.beach.7/,https://maps.google.com/?cid=13969741528313759787
Nature,HaTsuk Beach,32.1416675,34.7905783,HaTsuk Beach,4.5,"[natural_feature, establishment]",ChIJb6BcyiRJHRURi581n2UsAWI,,,https://maps.google.com/?q=HaTsuk+Beach&ftid=0x151d4924ca5ca06f:0x62012c659f359f8b
Nature,Hilton Beach,32.0903273,34.7694051,Hilton Beach,4.4,"[natural_feature, establishment]",ChIJ_Y1FAnRMHRURtCzYiStpNxY,,,https://maps.google.com/?q=Hilton+Beach&ftid=0x151d4c7402458dfd:0x1637692b89d82cb4
Nature,Bugrashov Beach,32.0777124,34.766058,Bugrashov Beach,4.7,"[natural_feature, establishment]",ChIJBSGdU3xMHRURugo8TFnwSfs,,,https://maps.google.com/?q=Bugrashov+Beach&ftid=0x151d4c7c539d2105:0xfb49f0594c3c0aba
Nature,Jerusalem Beach,32.0736191,34.7639466,Jerusalem Beach,4.5,"[natural_feature, establishment]",ChIJ7zwFtYdMHRURb0JHiUh5mtg,,,https://maps.google.com/?q=Jerusalem+Beach&ftid=0x151d4c87b5053cef:0xd89a79488947426f
Nature,Tayo Beach,32.0066651,34.7345183,Tayo Beach,4.7,"[natural_feature, establishment]",ChIJr0J4uQCzAhURQrf1RML-CeA,,,https://maps.google.com/?q=Tayo+Beach&ftid=0x1502b300b97842af:0xe009fec244f5b742
Nature,Rishon LeTsiyon Beach,31.9995977,34.7316036,Rishon LeTsiyon Beach,4.4,"[natural_feature, establishment]",ChIJhZvME62zAhURv9Oo1CgdNXg,,,https://maps.google.com/?q=Rishon+LeTsiyon+Beach&ftid=0x1502b3ad13cc9b85:0x78351d28d4a8d3bf
Nature,Charles Clore Beach,32.0604729,34.7587246,Charles Clore Beach,4.8,"[natural_feature, establishment]",ChIJZeTS75ZMHRUR84NdFC_52cs,,,https://maps.google.com/?q=Charles+Clore+Beach&ftid=0x151d4c96efd2e465:0xcbd9f92f145d83f3
Nature,Metsitsim Beach,32.0937759,34.7709858,"Tel Aviv-Yafo, Israel",4.4,"[natural_feature, point_of_interest, establishment]",ChIJ2bY7OXxLHRUR4OsO3NrmO6Q,03-724-6060,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Metzizim.aspx,https://maps.google.com/?cid=11834306273515334624
Nature,Aviv Beach,32.0699856,34.7633057,Aviv Beach,4.4,"[natural_feature, establishment]",ChIJabNo84VMHRURdwWbgM8RWnE,,,https://maps.google.com/?q=Aviv+Beach&ftid=0x151d4c85f368b369:0x715a11cf809b0577
Nature,Jerusalem Beach,32.0735916,34.7639615,"HaYarkon St 109, Tel Aviv-Yafo, Israel",4.6,"[natural_feature, point_of_interest, establishment]",ChIJ2bY7OXxLHRUReIv-HZsC2-Y,03-516-4601,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Jerusalem.aspx,https://maps.google.com/?cid=16634892513869466488
Nature,HaSela Beach,32.0240577,34.7392024,HaSela Beach,4.3,"[natural_feature, establishment]",ChIJF29WWRizAhURpL1hzK_yfyM,,,https://maps.google.com/?q=HaSela+Beach&ftid=0x1502b31859566f17:0x237ff2afcc61bda4
Nature,Hatzuk Beach,32.1400382,34.7898367,"Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJpcIcfCNJHRURYNbR3FOjvZk,03-523-8888,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/SouthHatzuk.aspx,https://maps.google.com/?cid=11078190238983640672
Nature,Frishman Beach,32.080185,34.766799,Frishman Beach,4.2,"[natural_feature, establishment]",ChIJ359zb3xMHRUR_iiRqMUFQ8E,,,https://maps.google.com/?q=Frishman+Beach&ftid=0x151d4c7c6f739fdf:0xc14305c5a89128fe
Nature,Gordon Beach,32.0826977,34.7674219,Gordon Beach,4.5,"[natural_feature, establishment]",ChIJW9dHNHpMHRURuIR3JfIEXGc,,,https://maps.google.com/?q=Gordon+Beach&ftid=0x151d4c7a3447d75b:0x675c04f2257784b8
Nature,חוף סי פלס,32.0286869,34.7410387,"Sea Palace Beach, Bat Yam",4.3,"[natural_feature, establishment]",ChIJP2DTsSSzAhURRdrWErJgnko,,,https://maps.google.com/?q=Sea+Palace+Beach&ftid=0x1502b324b1d3603f:0x4a9e60b212d6da45
Nature,Metzitzim Beach,32.0937759,34.7709858,Metzitzim Beach,4.1,"[natural_feature, establishment]",ChIJSUDK03RMHRURSHwO4lXB4FU,,,https://maps.google.com/?q=Metzitzim+Beach&ftid=0x151d4c74d3ca4049:0x55e0c155e20e7c48
Shopping,Makati Cabalen,32.0562473,34.7794234,"Tel Aviv-Yafo, Israel",4.5,"[point_of_interest, establishment]",ChIJHxZVUmFLHRURyFyvD8_vvFI,03-687-5560,,https://maps.google.com/?cid=5961903679332113608
Shopping,Marché de Jaffa,32.0529709,34.7557334,"Rabi Pinkhas St 9, Tel Aviv-Yafo, Israel",0,"[point_of_interest, establishment]",ChIJjZZ9maRNHRURoOF0eOd2fMs,03-977-3755,https://www.facebook.com/marchedejaffa/,https://maps.google.com/?cid=14662725223341941152
Shopping,מעדני אילנית,32.0528318,34.7904453,"HaTikva St 18, Tel Aviv-Yafo, 6712123, Israel",5,"[point_of_interest, establishment]",ChIJRa14yORLHRURJ71Vi4VdOao,052-515-3313,http://ilanit-delicacies.co.il/,https://maps.google.com/?cid=12265937888269942055
Shopping,שוק הכרמל,32.066158,34.777819,"Rothschild Blvd 86, Tel Aviv-Yafo, Israel",0,"[point_of_interest, establishment]",ChIJaZX7aI5LHRUR1DAgETaqzo8,,,https://maps.google.com/?cid=10362406941818368212
Shopping,האוכל של שושה,32.1103744,34.7899346,"Dov Hausner St 3, Tel Aviv-Yafo, 6936303, Israel",0,"[point_of_interest, establishment]",ChIJ5VjUgw1JHRURqpMfQjP9MG0,053-285-3320,,https://maps.google.com/?cid=7868066945610781610
Shopping,The Container City,32.086869,34.8017765,"Bezalel St 3, Ramat Gan, Israel",4,"[point_of_interest, establishment]",ChIJldQbvmBLHRURpIKLmGivDAM,,,https://maps.google.com/?cid=219743345605051044
Shopping,North Market,32.1098503,34.8377789,"Raoul Wallenberg St 20, Tel Aviv-Yafo, Israel",4,"[point_of_interest, establishment]",ChIJvddvWJRJHRURCITRG85x-bo,03-643-2000,http://www.shuktzafon.co.il/,https://maps.google.com/?cid=13472924890299466760
Shopping,Good Life Market,32.0843031,34.8012844,"Tuval St 52, Ramat Gan, Israel",4,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJxRm1Ub9LHRURbtQCyvUGsdc,03-603-2191,http://www.facebook.com/%D7%A9%D7%95%D7%A7-%D7%94%D7%97%D7%99%D7%99%D7%9D-%D7%94%D7%98%D7%95%D7%91%D7%99%D7%9D-%D7%A8%D7%9E%D7%AA-%D7%94%D7%97%D7%99%D7%99%D7%9C-927230137326458/,https://maps.google.com/?cid=15542211441758229614
Shopping,Kader Market,32.0710598,34.7814436,"Marmorek St 26, Tel Aviv-Yafo, Israel",0,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJH9NZdoJLHRURohtU5LrKtJQ,,,https://maps.google.com/?cid=10715412317464697762
Shopping,Nonstop Market,32.0791531,34.7740191,"Dizengoff St 100, Tel Aviv-Yafo, Israel",4,"[supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJO8MZp3hMHRURedn7-pcPuqA,1-800-380-404,http://www.nonstopmarket.co.il/%D7%94%D7%A8%D7%A9%D7%9E%D7%94-%D7%9C%D7%9E%D7%95%D7%A2%D7%93%D7%95%D7%9F-%D7%97%D7%91%D7%A8%D7%99%D7%9D-%D7%9E%D7%95%D7%91%D7%99%D7%99%D7%9C?ref=undefined,https://maps.google.com/?cid=11581586537161939321
Shopping,Hinnawi Market חינאווי מרקט,32.0564676,34.757204,"Nahum Goldmann St 9, Tel Aviv-Yafo, Israel",3,"[supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJodpqeb5MHRURnivqdhoMD30,,,https://maps.google.com/?cid=9011434687195392926
Shopping,Fish And Chips Market,32.0684126,34.7679609,"שוק הכרמל, Yom Tov St 7, Tel Aviv-Yafo, Israel",4.4,"[restaurant, point_of_interest, food, establishment]",ChIJ5fQnYoRMHRUR1JTn2pRUvG4,03-739-9953,http://www.elifish.co.il/,https://maps.google.com/?cid=7979345638098179284
Shopping,"שדה ירוק, ירקות אורגניים",32.1100934,34.8375374,"Raoul Wallenberg St 20, Tel Aviv-Yafo, Israel",0,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJvddvWJRJHRUR6LWVRZCH4hE,,,https://maps.google.com/?cid=1288741497093862888
Shopping,Paris Market,32.0766033,34.7705665,"Bograshov St 33, Tel Aviv-Yafo, Israel",4,"[supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJbckbWn5MHRURNUWBA0a1Qf0,,,https://maps.google.com/?cid=18249066477393102133
Shopping,AM:PM,32.0866265,34.7747069,"Dizengoff St 193, Tel Aviv-Yafo, Israel",3.8,"[supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJfT8ew4lLHRURoeN1g1HFBdE,073-229-2303,http://www.ampm.co.il/,https://maps.google.com/?cid=15061661482699056033
Shopping,Sheba Market,32.0455471,34.8424926,"Ramat Gan, Israel",0,"[point_of_interest, food, establishment]",ChIJb3EUlfhLHRURFpFPhSBA5ZU,,,https://maps.google.com/?cid=10801109789737718038
Shopping,Tel Aviv Port Market,32.0987139,34.7740865,"Nemal Tel Aviv St 12, Tel Aviv-Yafo, Israel",4.2,"[cafe, bakery, liquor_store, store, restaurant, point_of_interest, food, establishment]",ChIJxUWy-wlMHRURJxHfd4FrRsk,077-541-1393,http://shukhanamal.co.il/,https://maps.google.com/?cid=14503397853799321895
Shopping,Organic Market,32.0567753,34.8663066,"Yermiyahu St 25, Kiryat Ono, Israel",4.8,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJS_QM4Yg1HRURx2iO0Z1Tfgw,03-635-4544,,https://maps.google.com/?cid=900248912811419847
Shopping,Shuc,32.0679336,34.7657787,"Daniel St, Tel Aviv-Yafo, Israel",4,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJfZGeAoVMHRURPfITRiGvjUE,,,https://maps.google.com/?cid=4723624141626012221
Shopping,Injoy Market,32.161339,34.8108418,"Abba Eban Blvd 1, Herzliya, Israel",4,"[grocery_or_supermarket, store, point_of_interest, food, establishment]",ChIJx9ayM_NIHRUREPnaVu_qpoA,,,https://maps.google.com/?cid=9270355196664019216
Sight Seeing,TLV Balloon,32.0996249,34.8100492,"פארק הירקון חניון גני יהושוע, Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJkePK_9ZLHRURmTMSaiJ3VvI,03-558-9722,http://www.tlv-balloon.co.il/,https://maps.google.com/?cid=17462275594867848089
Sight Seeing,Hall of Culture of Tel Aviv,32.0731769,34.7801071,"Huberman St, Tel Aviv-Yafo, Israel",4.5,"[point_of_interest, establishment]",ChIJk-hUJIJLHRURyksccgvziN0,03-543-0777,,https://maps.google.com/?cid=15963276109699369930
Sight Seeing,Old Tel Aviv Port Area,32.0972612,34.7737655,"Nemal Tel Aviv St, Tel Aviv-Yafo, Israel",4.5,"[point_of_interest, establishment]",ChIJrSgPCwpMHRUR1mO_RZWIgCw,,http://www.namal.co.il/,https://maps.google.com/?cid=3206713109389468630
Sight Seeing,פסל - דיזנגוף רוכב על סוסתו,32.0630199,34.7708373,"Rothschild Blvd 20, Tel Aviv-Yafo, Israel",4.5,"[point_of_interest, establishment]",ChIJTVQxIJ1MHRUR7LPZ5BDwBog,,,https://maps.google.com/?cid=9801785594368078828
Sight Seeing,"Fountain ""Zodiac Signs""",32.0545072,34.751687,"Kikar Kdumim 6, Tel Aviv-Yafo, Israel",4.6,"[point_of_interest, establishment]",ChIJZ31FWcdMHRURF4LOtbivHyg,,,https://maps.google.com/?cid=2891222693654200855
Sight Seeing,כיכר המלך אלברט,32.0658854,34.774907,"Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJZ4qgnH1LHRURYu6QxxQaLxo,,,https://maps.google.com/?cid=1886755445441359458
Sight Seeing,Playexit,32.0864812,34.8012021,"Bezalel St 14, Ramat Gan, Israel",3.3,"[point_of_interest, establishment]",ChIJ82XkzsBLHRURM7cigdeMHtI,,,https://maps.google.com/?cid=15140693854478579507
Sight Seeing,Segway Tours Tel Aviv,32.084195,34.7689981,"HaYarkon St 155, Tel Aviv-Yafo, Israel",4.1,"[point_of_interest, establishment]",ChIJ2bY7OXxLHRUR9UxRMg0ZQn4,03-977-3060,http://segwaytlv.co.il/,https://maps.google.com/?cid=9097861741711281397
Sight Seeing,בית אקלי נורטון,32.0570544,34.7624779,"Auerbach St 4, Tel Aviv-Yafo, Israel",4.7,"[point_of_interest, establishment]",ChIJnZae_ZdMHRURYi8tRlCD9e4,,,https://maps.google.com/?cid=17218813131118948194
Sight Seeing,Mgdlaor Marina Tel Aviv,32.0880778,34.7667648,"Tel Aviv-Yafo, Israel",4.8,"[point_of_interest, establishment]",ChIJpzy_43BMHRURiKFsmeAdKlc,,,https://maps.google.com/?cid=6280865480805491080
Sight Seeing,Roim Olam,32.0853124,34.8002472,"Derech Menachem Begin 14, Ramat Gan, Israel",4.5,"[point_of_interest, establishment]",ChIJV_htn8BLHRURBnpIeKZmKis,,,https://maps.google.com/?cid=3110411357821368838
Sight Seeing,גילמור הפקות אירועים,32.0536993,34.8128833,"Shalem St 3, Ramat Gan, Israel",2.7,"[point_of_interest, establishment]",ChIJb7dMglVKHRURGunj8se0Ymc,077-517-7807,http://www.gilmor.co.il/,https://maps.google.com/?cid=7449715504490735898
Sight Seeing,Tribe of Judah,32.0325934,34.8602649,"Sderot Ben Gurion 3, Or Yehuda, Israel",4,"[point_of_interest, establishment]",ChIJA45qyJ1KHRURsrSTaL40sjg,,,https://maps.google.com/?cid=4085385804381402290
Sight Seeing,Tayelet Of Tel Aviv,32.0789318,34.7668016,"Shlomo Lahat Promenade 17, Tel Aviv-Yafo, Israel",4.9,"[point_of_interest, establishment]",ChIJbxUvRHxMHRURG2-Na6PYUTY,,,https://maps.google.com/?cid=3914147747557371675
Sight Seeing,מלון דזנגוף סויס,32.0816336,34.774047,"Dizengoff St 130, Tel Aviv-Yafo, Israel",0,"[point_of_interest, establishment]",ChIJr1IsdnhMHRURl51BuwU7oyo,03-523-4363,https://www.dizengoffsuites.co.il/,https://maps.google.com/?cid=3072364266599325079
Sight Seeing,Zadik Gallery,32.0544399,34.7576431,"Shim'on Ha'tsadik St 16, Tel Aviv-Yafo, Israel",5,"[point_of_interest, establishment]",ChIJ37O_p75MHRURwPdznZgskCA,077-495-6981,http://zadik.org.il/,https://maps.google.com/?cid=2346424439848302528
Sight Seeing,אתר צלילה מערות גורדון,32.0844966,34.76332379999999,"HaYam HaTichon Blvd, Ashdod, Israel",3.9,"[point_of_interest, establishment]",ChIJxVEI1HpMHRURJuPjIU8AwDM,,,https://maps.google.com/?cid=3728980831333770022
Sight Seeing,אייכה ישראל - מידע לתיירים,32.0762885,34.768249,"Ben Yehuda St 32, Tel Aviv-Yafo, Israel",0,"[point_of_interest, establishment]",ChIJE6En531MHRUR4_ApLdF-_w8,054-572-0429,,https://maps.google.com/?cid=1152779466501124323
Sight Seeing,סטודיו לעיצוב,32.0137994,34.791429,"6,, Betsal'el St 2, Holon, Israel",4.5,"[point_of_interest, establishment]",ChIJkegXRbm0AhURfvjETIs0pfM,,,https://maps.google.com/?cid=17556496495266822270
Sight Seeing,עתיד נסיעות,32.0631913,34.7618257,"Kaufmann St 2, Tel Aviv-Yafo, Israel",5,"[point_of_interest, establishment]",ChIJhxvYvpBMHRURHHc5Iuh9BBg,,,https://maps.google.com/?cid=1730646592777189148
Sight Seeing,חופשת קזינו - Fly2Play,32.0827477,34.7705013,"Ruppin St 21, Tel Aviv-Yafo, 6100001, Israel",5,"[casino, travel_agency, point_of_interest, establishment]",ChIJq_ZZunlMHRURh0FWAGidnQ8,054-224-4666,https://www.fly2play.co.il/,https://maps.google.com/?cid=1125228551920304519
Sight Seeing,Casino San Remo,32.0558867,34.7602194,"Nehama St 2, Tel Aviv-Yafo, Israel",4.2,"[restaurant, cafe, bar, store, point_of_interest, food, establishment]",ChIJkb8eCL1MHRURm6o4fhrJMEM,03-504-2003,https://www.casinosanremo.co.il/,https://maps.google.com/?cid=4841590715047258779
Sight Seeing,מיי סקיי - סוכנות נסיעות MySKY,32.0642669,34.7870965,"Beit Oved St 8, Tel Aviv-Yafo, 6721108, Israel",3.3,"[travel_agency, casino, lodging, point_of_interest, establishment]",ChIJ4cs8jU5KHRURm_8Yuudaulo,03-759-0590,http://www.mysky.co.il/,https://maps.google.com/?cid=6537637760387841947
Sight Seeing,Ladbrokes Coral R&D TLV.,32.0705154,34.7892779,"Derech Menachem Begin 110, Tel Aviv-Yafo, Israel",5,"[point_of_interest, establishment]",ChIJNSIdyJ1LHRURX-2rJQ-j0w8,,https://www.ladbrokescoralplc.com/,https://maps.google.com/?cid=1140434416106728799
Sight Seeing,PLAYTECH IN ISRAEL,32.0699358,34.7940867,"Yigal Alon St, Tel Aviv-Yafo, Israel",4.3,"[point_of_interest, establishment]",ChIJFbv5BZ9LHRURTvlUmPHOav8,,https://www.playtech.com/,https://maps.google.com/?cid=18404750364241099086
Sight Seeing,"(י.ז) קווינקו בע""מ",32.0623079,34.8242278,"דרך מנחם בגין 11,מגדל פז, Ramat Gan, Israel",5,"[finance, point_of_interest, establishment]",ChIJeUDKDVc-HBUR17DFFN3160w,03-756-6555,http://www.queenco.com/,https://maps.google.com/?cid=5542794096294605015
